federal_account_symbol,federal_account_name,agency_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total
015-0128,"Salaries and Expenses, General Legal Activities, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,98863186.19,54837962.00,897500000.00,0.00,0.00,442518861.45,442518861.45,1493720009.64,1403235870.86,71690697.23,90484138.78,1408190793.93,1493720009.64
005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,26909138.27,13842201.78,544505919.00,0.00,0.00,32022187.60,32022187.60,617279446.65,581021257.15,12842822.81,36258189.50,576660036.10,617279446.65
012-2400,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration",Department of Agriculture,Agriculture,Agricultural research and services,4900106.58,493464.73,43482000.00,0.00,0.00,101557.89,101557.89,48977129.20,44364501.84,1389158.28,4612627.36,42648903.62,48977129.20
049-5176,"Salaries and Expenses, H-1B Funded, Education  and Human Resources, National Science Foundation",National Science Foundation,"General Science, Space, and Technology",General science and basic research,74626883.25,3585199.25,138134599.65,0.00,0.00,0.00,0.00,216346682.15,119487901.29,3585199.25,96858780.86,118401296.30,216346682.15
016-5142,"Salaries and Expenses, H-1B Funded, State Unemployment Insurance and Employment Operations, Employment and Training Administration, Labor",,"Education, Training, Employment, and Social Services",Training and employment,17766193.87,21093743.32,17596567.21,0.00,0.00,0.00,0.00,56456504.40,26125592.94,1093743.32,30330911.46,25570445.04,56456504.40
016-5152,"Salaries and Expenses, H-1B Funded, Training and Employment Services, Employment and Training Administration, Labor",,"Education, Training, Employment, and Social Services",Training and employment,128061138.12,5518946.94,129965673.07,0.00,0.00,0.00,0.00,263545758.13,133773416.68,25518946.94,129772341.45,145800313.66,263545758.13
372-0950,"Salaries and Expenses, Harry S. Truman Scholarship Foundation",Harry S Truman Scholarship Foundation,"Education, Training, Employment, and Social Services",Higher education,0.00,0.00,1000000.00,0.00,0.00,0.00,0.00,1000000.00,1000000.00,0.00,0.00,1000000.00,1000000.00
020-0119,"Salaries and Expenses, Inspector General for Tax Administration, Departmental Offices, Treasury",Department of the Treasury,General Government,Central fiscal operations,7598163.13,469596.05,169634000.00,0.00,0.00,323307.40,323307.40,178025066.58,170042188.60,1583407.28,7982877.98,169575364.82,178025066.58
019-1069,"Salaries and Expenses, International Boundary and Water Commission, United States and Mexico, State",Department of State,Natural Resources and Environment,Water resources,5220454.75,1572264.18,48134000.00,0.00,0.00,14570965.53,14570965.53,69497684.46,58355624.29,2341849.92,11142060.17,52730537.75,69497684.46
034-0100,"Salaries and Expenses, International Trade Commission",International Trade Commission,International Affairs,Conduct of foreign affairs,336965.90,3910422.89,91500000.00,0.00,0.00,0.00,0.00,95747388.79,95442722.63,3910422.89,304666.16,91024601.42,95747388.79
086-0143,"Salaries and Expenses, Management and Administration, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,4830438.82,-1680693.51,0.00,0.00,0.00,650000.00,650000.00,3799745.31,672846.63,6638.49,3126898.68,331250.94,3799745.31
387-2200,"Salaries and Expenses, Marine Mammal Commission",Marine Mammal Commission,Natural Resources and Environment,Conservation and land management,282129.46,18192.21,3431000.00,0.00,0.00,0.00,0.00,3731321.67,3429292.49,28871.76,302029.18,3365837.87,3731321.67
389-0100,"Salaries and Expenses, Merit Systems Protection Board",Merit Systems Protection Board,General Government,Central personnel management,7862484.10,-47374.76,44786000.00,0.00,0.00,2362652.42,2362652.42,54963761.76,47452238.65,113317.16,7511523.11,46755406.61,54963761.76
016-1200,"Salaries and Expenses, Mine Safety and Health Administration, Labor",,Health,Consumer and occupational health and safety,5816446.32,1209164.95,373816000.00,0.00,0.00,1352066.00,1352066.00,382193677.27,376602414.36,4764513.07,5591262.91,372744443.42,382193677.27
413-3500,"Salaries and Expenses, National Council on Disability",National Council on Disability,"Education, Training, Employment, and Social Services",Social services,184507.59,133683.25,3250000.00,0.00,0.00,0.00,0.00,3568190.84,2479265.58,133683.25,1088925.26,2666436.46,3568190.84
014-0118,"Salaries and Expenses, National Indian Gaming Commission, Interior",Department of the Interior,General Government,General purpose fiscal assistance,2544802.65,51132.93,0.00,0.00,0.00,1772082.71,1772082.71,4368018.29,1689613.75,0.00,2678404.54,1689613.75,4368018.29
420-0100,"Salaries and Expenses, National Labor Relations Board",National Labor Relations Board,"Education, Training, Employment, and Social Services",Other labor services,5822433.08,4057479.79,274224000.00,0.00,0.00,0.00,0.00,284103912.87,277450230.02,5432943.08,6653682.85,274287194.29,284103912.87
421-2400,"Salaries and Expenses, National Mediation Board",National Mediation Board,"Education, Training, Employment, and Social Services",Other labor services,4170823.10,-805187.44,13800000.00,0.00,0.00,0.00,0.00,17165635.66,12483033.49,260610.75,4682602.17,10533010.69,17165635.66
011-2000,"Salaries and Expenses, National Security Council",,General Government,Executive direction and management,877709.44,362839.41,12000000.00,0.00,0.00,767701.86,767701.86,14008250.71,13229833.05,513640.38,778417.66,12968937.46,14008250.71
015-1300,"Salaries and Expenses, National Security Division, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,11353610.57,-1125.38,96000000.00,0.00,0.00,3402929.25,3402929.25,110755414.44,105640261.49,1415043.52,5115152.95,104041652.78,110755414.44
013-0550,"Salaries and Expenses, National Telecommunications and Information Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,39423023.77,-417327.75,32000000.00,0.00,0.00,39484824.92,39484824.92,110490520.94,79616521.97,5331761.54,30873998.97,79690102.87,110490520.94
424-0310,"Salaries and Expenses, National Transportation Safety Board",National Transportation Safety Board,Transportation,Other transportation,15917394.01,384339.72,106000000.00,0.00,0.00,1080860.29,1080860.29,123382594.02,107439567.90,2081180.78,15943026.12,106662531.83,123382594.02
031-0200,"Salaries and Expenses, Nuclear Regulatory Commission",Nuclear Regulatory Commission,Energy,"Energy information, policy, and regulation",38626221.33,14612396.33,905000000.00,0.00,0.00,5625538.82,5625538.82,963864156.48,928345224.25,14612396.33,35518932.23,913103087.69,963864156.48
016-0400,"Salaries and Expenses, Occupational Safety and Health Administration",,Health,Consumer and occupational health and safety,15305098.02,-361764.79,552787000.00,0.00,0.00,1977318.49,1977318.49,569707651.72,555786488.15,8419392.33,13921163.57,557893564.08,569707651.72
432-2100,"Salaries and Expenses, Occupational Safety and Health Review Commission",Occupational Safety and Health Review Commission,Health,Consumer and occupational health and safety,992708.24,13671.62,13225000.00,0.00,0.00,0.00,0.00,14231379.86,12765197.04,319736.28,1466182.82,12180583.89,14231379.86
011-0038,"Salaries and Expenses, Office of Administration, Executive",,General Government,Executive direction and management,9270600.52,1791750.43,101041000.00,0.00,0.00,8752539.77,8752539.77,120855890.72,103235712.20,3933402.94,17620178.52,103094701.21,120855890.72
016-0166,"Salaries and Expenses, Office of Disability Employment Policy, Labor",,"Education, Training, Employment, and Social Services",Other labor services,969063.05,-231048.31,38108000.00,0.00,0.00,0.00,0.00,38846014.74,38104486.80,320143.28,741527.94,34883900.80,38846014.74
016-0148,"Salaries and Expenses, Office of Federal Contract and Compliance Programs, Labor",,"Education, Training, Employment, and Social Services",Other labor services,2426635.33,428484.07,104476000.00,0.00,0.00,0.00,0.00,107331119.40,104438122.64,3177593.23,2892996.76,97670983.95,107331119.40
434-1100,"Salaries and Expenses, Office of Government Ethics",Office of Government Ethics,General Government,Central personnel management,818226.43,-175419.18,16090000.00,0.00,0.00,2973.83,2973.83,16735781.08,16107351.38,85667.39,628429.70,16071788.10,16735781.08
024-0400,"Salaries and Expenses, Office of Inspector General, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,4626942.21,-92925.70,5072000.00,0.00,0.00,24253483.93,24253483.93,33859500.44,29005168.04,222562.82,4854332.40,27046728.74,33859500.44
069-0130,"Salaries and Expenses, Office of Inspector General, Transportation",Department of Transportation,Transportation,Other transportation,10955511.31,337627.70,90152000.00,0.00,0.00,373120.51,373120.51,101818259.52,91195461.99,1037563.58,10622797.53,89477573.27,101818259.52
020-0106,"Salaries and Expenses, Office of Inspector General, Treasury",Department of the Treasury,General Government,Central fiscal operations,7353980.81,3253703.05,37044000.00,0.00,0.00,6117456.96,6117456.96,53769140.82,40579241.70,4318465.56,13189899.12,37711452.99,53769140.82
015-0420,"Salaries and Expenses, Office of Justice Programs, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,56585.22,432517.23,-439942.09,0.00,0.00,0.00,0.00,49160.36,0.00,432517.23,49160.36,3671.15,49160.36
016-0150,"Salaries and Expenses, Office of Labor Management and Standards, Labor",,"Education, Training, Employment, and Social Services",Other labor services,994846.57,188239.75,39332000.00,0.00,0.00,0.00,0.00,40515086.32,39618260.81,376078.17,896825.51,39456780.78,40515086.32
011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",,General Government,Executive direction and management,747694.10,3332526.90,95000000.00,0.00,0.00,590927.47,590927.47,99671148.47,98709721.08,3533043.22,961427.39,95827920.40,99671148.47
011-1457,"Salaries and Expenses, Office of National Drug Control Policy",,General Government,Executive direction and management,4185103.59,115710.64,19274000.00,0.00,0.00,2150000.00,2150000.00,25724814.23,22234039.38,1321154.85,3490774.85,18855180.39,25724814.23
024-0100,"Salaries and Expenses, Office of Personnel Management",Office of Personnel Management,General Government,Central personnel management,92581750.93,-6749582.97,119000000.00,0.00,0.00,312003831.33,312003831.33,516835999.29,421484691.89,3473007.83,95351307.40,400932965.82,516835999.29
062-0100,"Salaries and Expenses, Office of Special Counsel",Office of Special Counsel,General Government,Central personnel management,613672.13,156628.93,24750000.00,0.00,0.00,28280.00,28280.00,25548581.06,24778528.38,687416.68,770052.68,24603386.34,25548581.06
020-1804,"Salaries and Expenses, Office of Terrorism and Financial Intelligence, Departmental Offices, Treasury",Department of the Treasury,General Government,Central fiscal operations,5893002.74,3828616.12,95000000.00,0.00,0.00,6492784.86,6492784.86,111214403.72,104046612.70,3828616.12,7167791.02,100660346.34,111214403.72
014-0104,"Salaries and Expenses, Office of the Inspector General, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,3226199.59,-391959.70,50447000.00,0.00,0.00,2503268.36,2503268.36,55784508.25,52498748.27,817125.68,3285759.98,52455288.73,55784508.25
069-0102,"Salaries and Expenses, Office of the Secretary, Transportation",Department of Transportation,Transportation,Other transportation,22997984.41,-2886975.44,114000000.00,0.00,0.00,17573706.63,17573706.63,151684715.60,119323136.72,4098406.14,32361578.88,120921180.58,151684715.60
014-0107,"Salaries and Expenses, Office of the Solicitor, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,2578879.26,76938.06,65769000.00,0.00,0.00,17137131.74,17137131.74,85561949.06,82687334.67,843944.20,2874614.39,81146184.31,85561949.06
011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",,General Government,Executive direction and management,4019022.39,2851761.02,62000000.00,0.00,0.00,1133934.19,1133934.19,70004717.60,60137891.88,3543508.59,9866825.72,52339817.75,70004717.60
016-0163,"Salaries and Expenses, Office  of Workers' Compensation Programs, Labor",,"Education, Training, Employment, and Social Services",Other labor services,2019651.39,341693.33,115424000.00,0.00,0.00,37784026.00,37784026.00,155569370.72,153717281.87,1650977.07,1852088.85,153888257.83,155569370.72
013-1006,"Salaries and Expenses, Patent and Trademark Office, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,461238098.87,33503131.44,0.00,0.00,0.00,3082829085.91,3082829085.91,3577570316.22,3203995150.93,33503131.44,373575165.29,3179846471.96,3577570316.22
535-2724,"Salaries and Expenses, Privacy and Civil Liberties Oversight Board",Privacy and Civil Liberties Oversight Board,National Defense,Defense-related activities,9688958.93,343375.39,10100000.00,0.00,0.00,0.00,0.00,20132334.32,8309397.83,343375.39,11822936.49,6614036.85,20132334.32
069-0131,"Salaries and Expenses - Recovery Act, Office of Inspector General, Transportation",Department of Transportation,Transportation,Other transportation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
014-0101,"Salaries and Expenses-Recovery Act, Office of the Inspector General, Interior",Department of the Interior,Natural Resources and Environment,Other natural resources,1280322.22,-1280322.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12413.64,0.00,0.00,0.00
020-0135,"Salaries and Expenses - Recovery Act, Treasury Inspector General for Tax Administration, Departmental Offices, Treasury",Department of the Treasury,General Government,Central fiscal operations,45906.97,0.00,0.00,0.00,0.00,0.00,0.00,45906.97,0.00,0.00,45906.97,0.00,45906.97
012-0403,"Salaries and Expenses, Rural Development",Department of Agriculture,Community and Regional Development,Area and regional development,37770295.74,1701533.58,226485000.00,0.00,0.00,461962935.47,461962935.47,727919764.79,697187399.34,6851862.26,30732365.45,684088343.30,727919764.79
050-0100,"Salaries and Expenses, Securities and Exchange Commission",Securities and Exchange Commission,Commerce and Housing Credit,Other advancement of commerce,-188052318.26,38834889.88,19730514.75,0.00,0.00,1586558907.74,1586558907.74,1457071994.11,1580501196.72,38834889.88,-123429202.61,1664888212.78,1457071994.11
090-0400,"Salaries and Expenses, Selective Service System",Selective Service System,National Defense,Defense-related activities,2129691.50,-235744.37,22900000.00,0.00,0.00,370000.00,370000.00,25163947.13,23263158.55,282194.90,1900788.58,22930754.74,25163947.13
073-0100,"Salaries and Expenses, Small Business Administration",Small Business Administration,Commerce and Housing Credit,Other advancement of commerce,277541052.97,-5238427.80,269500000.00,0.00,0.00,559612336.20,559612336.20,1101414961.37,681566026.25,23226912.58,419848935.12,644265318.05,1101414961.37
028-8704,"Salaries and Expenses, Social Security Administration",Social Security Administration,Social Security,Social security,393929487.55,282051773.74,0.00,0.00,0.00,12529221955.66,12529221955.66,13205203216.95,12406239952.59,282051773.74,798963264.36,12204259584.43,13205203216.95
011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President",,General Government,Executive direction and management,1349817.24,173421.46,4228000.00,0.00,0.00,255753.88,255753.88,6006992.58,4518603.40,373572.27,1488389.18,4275745.57,6006992.58
019-0107,"Salaries and Expenses, State",Department of State,International Affairs,Conduct of foreign affairs,1324177.30,0.00,0.00,0.00,0.00,0.00,0.00,1324177.30,0.00,0.00,1324177.30,0.00,1324177.30
472-0301,"Salaries and Expenses, Surface Transportation Board",Surface Transportation Board,Transportation,Ground transportation,341962.82,470138.01,36367053.04,0.00,0.00,632946.96,632946.96,37812100.83,33401209.66,470138.01,4410891.17,31622629.85,37812100.83
069-0301,"Salaries and Expenses, Surface Transportation Board, Transportation",Department of Transportation,Transportation,Ground transportation,838962.85,-124518.74,0.00,0.00,0.00,0.00,0.00,714444.11,103767.07,129182.90,610677.04,503102.61,714444.11
011-0110,"Salaries and Expenses, the White House",,General Government,Executive direction and management,2135587.95,1322511.39,55214000.00,0.00,0.00,1729734.65,1729734.65,60401833.99,57829337.13,2311421.72,2572496.86,54305635.64,60401833.99
015-0322,"Salaries and Expenses, United States Attorneys, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,178055115.22,11085131.12,2035788123.00,0.00,0.00,373489168.53,373489168.53,2598417537.87,2418530776.47,31953152.87,179886761.40,2434488562.76,2598417537.87
345-0300,"Salaries and Expenses, United States Court of Appeals for Veterans Claims",United States Court of Appeals for Veterans Claims,Veterans Benefits and Services,Other veterans benefits and services,16867036.67,-2182807.48,30945000.00,0.00,0.00,0.00,0.00,45629229.19,30685728.74,1397669.24,14943500.45,29887766.23,45629229.19
015-0324,"Salaries and Expenses, United States Marshals Service, Justice",Department of Justice,Administration of Justice,Federal litigative and judicial activities,58081747.50,25073509.53,1250253592.00,0.00,0.00,34085224.65,34085224.65,1367494073.68,1325507467.55,31419749.89,41986606.13,1286411901.11,1367494073.68
015-1061,"Salaries and Expenses, United States Parole Commission, Justice",Department of Justice,Administration of Justice,Federal law enforcement activities,1640001.84,-182226.63,13308000.00,0.00,0.00,100000.00,100000.00,14865775.21,13055748.13,177077.66,1810027.08,13328125.09,14865775.21
070-0400,"Salaries and Expenses, United States Secret Service, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,148877575.46,-22811849.81,1872690584.01,0.00,0.00,16186402.61,16186402.61,2014942712.27,1916353323.96,33050058.86,98589388.31,1877593335.57,2014942712.27
070-0530,"Salaries and Expenses, U.S. Customs and Border Protection, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,167692953.88,109048690.06,11704865595.00,0.00,0.00,2145147387.40,2145147387.40,14126754626.34,13734591419.04,141852358.24,392163207.30,12444276042.84,14126754626.34
070-0540,"Salaries and Expenses, U.S. Immigration and Customs Enforcement, Homeland Security",Department of Homeland Security,Administration of Justice,Federal law enforcement activities,430628690.38,92323538.77,6404911006.00,0.00,0.00,142310006.81,142310006.81,7070173241.96,6743062315.27,124353698.77,327110926.69,6529739550.08,7070173241.96
016-0143,"Salaries and Expenses, Wage and Hour Division, Labor",,"Education, Training, Employment, and Social Services",Other labor services,6279810.89,-86795.04,227500000.00,0.00,0.00,4000000.00,4000000.00,237693015.85,232106794.16,4326267.54,5586221.69,235354013.43,237693015.85
089-5530,"Sales of Uranium, Energy Programs, Energy",Department of Energy,Energy,Energy supply,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,363957.01,0.17
013-5584,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,254919.54,0.00,12966.00,0.00,0.00,33615.00,33615.00,301500.54,45576.04,0.00,255924.50,29252.83,301500.54
014-5483,"San Gabriel Basin Restoration Fund, Bureau of Reclamation",Department of the Interior,Natural Resources and Environment,Water resources,48.75,0.00,0.00,0.00,0.00,0.00,0.00,48.75,0.00,0.00,48.75,0.00,48.75
014-5537,"San Joaquin River Restoration Fund, Bureau of Reclamation, Interior",Department of the Interior,Natural Resources and Environment,Water resources,14624696.82,97234.52,0.00,0.00,0.00,0.00,0.00,14721931.34,878586.39,97234.52,13843344.95,3682072.80,14721931.34
069-0527,"Schenectady Bridge, Federal Highway Administration, Transportation",Department of Transportation,Transportation,Ground transportation,6909.00,-6909.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
091-1000,"School Improvement Programs, Department of Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",130087627.72,-6623794.91,4408567000.00,0.00,0.00,0.00,0.00,4532030832.81,4484198442.53,16646588.89,47832390.28,4428702010.27,4532030832.81
080-0114,"Science, Aeronautics, and Exploration, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",920651.95,186628.49,0.00,0.00,0.00,0.00,0.00,1107280.44,292882.26,186628.49,814398.18,397873.60,1107280.44
080-0110,"Science, Aeronautics and Technology, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",740341.33,25.39,0.00,0.00,0.00,0.00,0.00,740366.72,3706.74,25.39,736659.98,6229.89,740366.72
068-0107,"Science and Technology, Environmental Protection Agency",Environmental Protection Agency,Natural Resources and Environment,Pollution control and abatement,118488747.97,32841039.38,706473000.00,0.00,0.00,21004727.30,21004727.30,878807514.65,781818668.13,36052175.73,96988846.52,781294919.38,878807514.65
089-0222,"Science, Energy Programs, Energy",Department of Energy,"General Science, Space, and Technology",General science and basic research,12252599.78,46205600.21,5479784983.00,0.00,0.00,554245440.98,554245440.98,6092488623.97,6072419511.03,44205600.21,20069112.94,5678041807.64,6092488623.97
080-0120,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",315797661.24,41562459.03,5762200000.00,0.00,0.00,0.00,0.00,6119560120.27,5806351846.20,48883965.21,313208274.07,5523342739.61,6119560120.27
080-8978,"Science, Space and Technology Education Trust Fund, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"Education, Training, Employment, and Social Services",Research and general education aids,520456.40,0.00,904708.48,0.00,0.00,0.00,0.00,1425164.88,1000000.00,0.00,425164.88,1000000.00,1425164.88
012-1404,"Scientific Activities Overseas, Foreign Currency Program, Foreign Agricultural Service, Agriculture",Department of Agriculture,Agriculture,Agricultural research and services,-272790.90,272790.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272790.90,0.00,0.00,0.00
075-1102,"Scientific Activities Overseas, Special Foreign Currency Program, Assistant Secretary for Health, Health and Human Services",Department of Health and Human Services,Health,Health care services,968170.18,0.00,0.00,0.00,0.00,0.00,0.00,968170.18,0.00,0.00,968170.18,0.00,968170.18
013-0500,"Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,21817701.31,4666797.84,695900000.00,0.00,0.00,0.00,0.00,722384499.15,712116743.71,4721654.40,10267755.44,726647524.20,722384499.15
013-0549,"Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",Department of Commerce,Commerce and Housing Credit,Other advancement of commerce,112732.89,0.00,0.00,0.00,0.00,0.00,0.00,112732.89,0.00,0.00,112732.89,0.00,112732.89
075-3902,"Section 241 Transactions Account, Office of the Secretary, Health and Human Services",Department of Health and Human Services,Health,Health research and training,0.00,200134829.95,0.00,0.00,0.00,476360000.00,476360000.00,676494829.95,676494829.95,200134829.95,0.00,822695160.41,676494829.95
086-4097,"Section 8-Community Development Guaranteed Loans, Liquidating Account, Housing and Urban Development",Department of Housing and Urban Development,Community and Regional Development,Community development,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.50
050-5566,"Securities and Exchange Commission Reserve Fund, Securities and Exchange Commission",Securities and Exchange Commission,Commerce and Housing Credit,Other advancement of commerce,1848233.40,1318125.07,49925000.00,0.00,0.00,0.00,0.00,53091358.47,51879536.42,1318125.07,1211822.05,47793685.55,53091358.47
086-0176,"Self-Help and Assisted Homeownership Opportunity Program, Community Planning and Development, Housing and Urban Development",Department of Housing and Urban Development,Income Security,Housing assistance,57059829.73,-67754.92,54000000.00,0.00,0.00,0.00,0.00,110992074.81,50000000.00,276403.50,60992074.81,44318244.30,110992074.81
015-0340,"September 11th Victim Compensation, General Legal Activities, Justice",Department of Justice,Administration of Justice,Criminal justice assistance,0.00,3316079.69,-1899940.61,0.00,0.00,0.00,0.00,1416139.08,1416139.08,3316079.69,0.00,13416174.33,1416139.08
075-4554,"Service and Supply Fund, National Institutes of Health, Health and Human Services",Department of Health and Human Services,Health,Health research and training,759516715.19,62759080.08,0.00,0.00,0.00,1623846426.15,1623846426.15,2446122221.42,1896217035.83,62759080.08,549905185.59,1801122139.11,2446122221.42
014-5017,"Service Charges, Deposits and Forfeitures, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,49743293.17,203890.26,26288657.79,0.00,0.00,0.00,0.00,76235841.22,25477652.27,203890.26,50758188.95,23426186.02,76235841.22
036-4012,"Service-Disabled Veterans Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,9237159.46,389.00,0.00,0.00,0.00,159488882.02,159488882.02,168726430.48,157360794.40,389.00,11365636.08,153567788.18,168726430.48
036-4009,"Servicemen's Group Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits and Services,Income security for veterans,657300.80,0.00,0.00,0.00,0.00,769797425.70,769797425.70,770454726.50,769784509.75,0.00,670216.75,769784509.75,770454726.50
017-1611,"Shipbuilding and Conversion, Navy",Department of the Navy,National Defense,Department of Defense-Military,14804422364.38,586565887.73,20082842000.00,0.00,0.00,13278.20,13278.20,35473843530.31,19592461471.54,587116487.44,15881382058.77,14239646404.30,35473843530.31
069-1768,"Ship Disposal, Maritime Administration, Transportation",Department of Transportation,Transportation,Water transportation,644153.94,293890.93,34000000.00,0.00,0.00,0.00,0.00,34938044.87,10080553.05,293890.93,24857491.82,6322756.04,34938044.87
017-0513,"Ship Modernization, Operations and Sustainment Fund, Navy",Department of the Navy,National Defense,Department of Defense-Military,1642700000.00,-251630000.00,-1391070000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
017-8723,"Ships' Stores Profits, Navy",Department of the Navy,National Defense,Department of Defense-Military,1734000.83,0.00,10455456.24,0.00,0.00,0.00,0.00,12189457.07,11338477.86,0.00,850979.21,11338477.86,12189457.07
016-0168,"Short Time Compensation Programs, Employment and Training Administration, Labor",,Income Security,Unemployment compensation,854879.83,243.77,0.00,0.00,0.00,0.00,0.00,855123.60,630.90,243.77,854492.70,39862.25,855123.60
014-5559,"Silver Saddle Endowment Account, Bureau of Land Management, Interior",Department of the Interior,Natural Resources and Environment,Conservation and land management,363605.56,0.00,0.00,0.00,0.00,0.00,0.00,363605.56,0.00,0.00,363605.56,0.00,363605.56
020-0575,"Sinking Fund, Treasury",Department of the Treasury,General Government,Central fiscal operations,49114265334.28,0.00,680849085.47,0.00,0.00,0.00,0.00,49795114419.75,0.00,0.00,49795114419.75,0.00,49795114419.75
020-0141,"Small Business Lending Fund, Departmental Offices, Treasury",Department of the Treasury,Commerce and Housing Credit,Other advancement of commerce,0.00,0.00,4558693.92,0.00,0.00,0.00,0.00,4558693.92,4558693.92,8066647.49,0.00,4717832.27,4558693.92
047-6501,"Small Escrow Amounts, General Services Administration",General Services Administration,Governmental Receipts,Governmental Receipts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
075-6501,"Small Escrow Amounts, Health Care Financing Administration",Department of Health and Human Services,Governmental Receipts,Governmental Receipts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
060-8010,"Social Security Equivalent Benefit Account, Railroad Retirement Board",Railroad Retirement Board,Income Security,General retirement and disability insurance (excluding social se,0.00,0.00,3171849591.02,4089100000.00,0.00,289142.97,4089389142.97,7261238733.99,7261238733.99,0.00,0.00,7254307297.60,7261238733.99
075-1534,"Social Services Block Grant, Administration for Children and Families, Health and Human Services",Department of Health and Human Services,"Education, Training, Employment, and Social Services",Social services,31967317.35,-186581.30,1661835000.00,0.00,0.00,0.00,0.00,1693615736.05,1660560039.71,13108848.47,33055696.34,1660323537.36,1693615736.05
096-8217,"South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Other natural resources,1324811.74,0.00,2456656.64,0.00,0.00,0.00,0.00,3781468.38,0.00,0.00,3781468.38,0.00,3781468.38
014-5232,"Southern Nevada Public Land Management, Bureau of Land Management",Department of the Interior,Natural Resources and Environment,Conservation and land management,583155997.77,39373473.63,92074651.05,0.00,0.00,0.00,0.00,714604122.45,90639043.01,44871234.13,623965079.44,24177444.55,714604122.45
080-0115,"Space Flight Capabilities, National Aeronautics and Space Administration",National Aeronautics and Space Administration,"General Science, Space, and Technology","Space flight, research, and supporting activities",157713566.81,51244456.42,4942500000.00,0.00,0.00,0.00,0.00,5151458023.23,5002368631.32,51244456.42,149089391.91,4241082263.20,5151458023.23
057-3021,"Space Procurement, Air Force",Department of the Air Force,National Defense,Department of Defense-Military,935327359.03,-35425630.77,2650158000.00,0.00,0.00,1123627.01,1123627.01,3551183355.27,2530230205.22,47920369.23,1020953150.05,1362909920.19,3551183355.27
